check_id,lane,severity,status,subject,observed,expected,evidence,impact,repair_authority
A8-03-RAW-SCHEMA,A8,P0,PASS,formal raw schema is consumable by the cell aggregator,"{""aggregation_error"": null, ""raw_field_customer_count_present"": false, ""raw_field_customer_size_present"": true}",customer-size field name is identical from raw schema through aggregation,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/statistics.py,The current empty foundation hides a KeyError: formal rows use customer_size while primary_cell_id expects customer_count.,Use one customer-size field vocabulary from RAW_FIELDS through primary-cell construction.
A8-02-PAIR-FAULT,A8,P0,PASS,disjoint-seed arms are rejected as unpaired,"{""control_missing"": [""AUDIT:control:cn-jjj-10c-01-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-01-V2-LOCATIONS:seed2:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-02-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-02-V2-LOCATIONS:seed2:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-03-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule"", ""AUDIT:control:cn-jjj-10c-03-V2-LOCATIONS:seed2:total_cost=infeasible_without_registered_rule""], ""disjoint_control_seeds"": [1, 2], ""disjoint_treatment_seeds"": [3, 4], ""pairing_violations"": [""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed1:arms=['control']"", ""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed2:arms=['control']"", ""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed3:arms=['treatment']"", ""AUDIT:cn-jjj-10c-01-V2-LOCATIONS:seed4:arms=['treatment']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed1:arms=['control']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed2:arms=['control']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed3:arms=['treatment']"", ""AUDIT:cn-jjj-10c-02-V2-LOCATIONS:seed4:arms=['treatment']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed1:arms=['control']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed2:arms=['control']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed3:arms=['treatment']"", ""AUDIT:cn-jjj-10c-03-V2-LOCATIONS:seed4:arms=['treatment']""], ""silently_accepted_by_arm_aggregator"": false, ""treatment_missing"": [""AUDIT:treatment:cn-jjj-10c-01-V2-LOCATIONS:seed3:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-01-V2-LOCATIONS:seed4:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-02-V2-LOCATIONS:seed3:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-02-V2-LOCATIONS:seed4:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-03-V2-LOCATIONS:seed3:total_cost=infeasible_without_registered_rule"", ""AUDIT:treatment:cn-jjj-10c-03-V2-LOCATIONS:seed4:total_cost=infeasible_without_registered_rule""]}",control and treatment must share identical pair_id and seed sets,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/statistics.py,The current arm-wise aggregation can label two disjoint seed sets as a paired cell comparison.,"Validate pair_id, instance and seed equality across arms before any aggregation."
A8-05-INFEASIBLE,A8,P0,PASS,infeasible numeric cost is excluded or handled by preregistered rule,"{""feasible"": ""false"", ""metric_value_retained"": false, ""missing_reasons"": [""AUDIT:control:cn-jjj-10c-01-V2-LOCATIONS:seed1:total_cost=infeasible_without_registered_rule""], ""numeric_total_cost"": ""1.0"", ""status"": ""complete""}",no infeasible cost enters a cost contrast without an explicit rule,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/statistics.py,"For E3/E4/E7, an infeasible row marked complete can currently enter a total-cost contrast as if it were feasible.",
A8-06-BUDGET,A8,P1,FAIL,formal evaluation and wall-clock budget contract,"{""PENDING_FORMAL_RELEASE"": 3240}",numeric paired evaluation budget plus reporting-only wall clock,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,No equal-compute claim or reproducible stopping rule is possible while every task budget is pending.,
A9-LEGACY-01,A9,P0,PASS,legacy UK/ALNS E0-E7 runner excluded from China mainline,"{""foundation_imports_legacy_runner"": false, ""legacy_runner_is_mv_hgs_sp"": false, ""legacy_runner_uses_single_main_instance"": true}",China adapter does not call the legacy formal_runner,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/adapter.py; solver/src/setp_solver/search/formal_runner.py,Calling the legacy runner would test a different algorithm and data lane.,
A9-E3-BINDING,A9,P0,FAIL,E3 mechanism-specific witness binding,"{""responsibility_map_sha256"": 810, ""status_quo_witness_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.,
A9-E4-BINDING,A9,P0,FAIL,E4 mechanism-specific witness binding,"{""calendar_panel_sha256"": 810, ""fixed_route_vehicle_energy_witness_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.,
A9-E5-BINDING,A9,P0,FAIL,E5 mechanism-specific witness binding,"{""linear_plan_witness_sha256"": 810, ""nonlinear_replay_contract_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.,
A9-E6-BINDING,A9,P0,FAIL,E6 mechanism-specific witness binding,"{""independent_profit_baseline_sha256"": 810, ""participation_contract_sha256"": 810}",all family-specific control/treatment artifacts are hash-bound,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,Arm labels alone do not establish that the intended mechanism was executed or isolated.,
A9-04-E7-EVENTS,A9,P0,FAIL,E7 event streams and arm tasks are materialized and hash-bound,"{""materialized_e7_tasks"": 0, ""projection_only"": ""NOT_MATERIALIZED_FORMAL_SEARCH_HELD""}",result-blind E7 tasks include immutable event_stream_sha256,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,A seed recipe is not a frozen event stream; dynamic arms cannot yet be paired or replayed.,
A9-05-STRICT-CERT,A9,P0,FAIL,strict multitrip certificate is mandatory on every formal task,"{""runtime_default_off"": true, ""tasks"": 3240, ""tasks_binding_strict_mode"": 0}",strict certificate cannot be disabled by ambient environment,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; solver/src/setp_solver/search/e3_multitrip_runtime.py; baselines/china_e3_e7/foundation_20260723/task_manifest.json,"The generic checker does not reject all physical-vehicle, SOC and charging-session faults found by A6.","Make strict certificate mode a runner invariant, not an ambient optional environment flag."
A9-05-PUBLIC-STATION,A9,P0,PASS,strict multitrip path supports public-station routes,"{""instance_files"": 81, ""instances_with_public_station"": 81, ""public_station_rows"": 144, ""strict_runtime_rejects_public_station_routes"": false}",public-station routes either execute correctly or are explicitly excluded by approved design,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; solver/src/setp_solver/search/multitrip_schedule.py,"The China instances expose public stations, but the stronger certificate path rejects every route that visits one.",
A7-04-PARENT,A7,P0,PASS,complete-model parent protection after SP recombination,"{""parent_protection_branch_present"": true}",recombined solution replaces the parent only after exact full-model improvement,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py,"Without this guard, proxy/SP ranking could worsen the delivered result.",
A7-05-SP-CHECKS,A7,P0,PASS,"SP customer coverage, fleet caps and full-model recheck","{""required_checks_present"": true}","coverage equality, fleet limits and zero-violation full recheck",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py,A malformed recombination must not bypass the complete-model judge.,
A7-05-SP-OPTIMALITY,A7,P1,FAIL,claim of exact SP recombination is backed by optimality certificate,"{""accepts_x_without_success"": true, ""mip_gap_recorded_but_not_gated"": true, ""time_limited"": true}","accept only proven optimum, or rename/disclose as time-limited MIP recombination",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/algorithm_prototypes/china81_mechanism_hybrid_20260720/route_pool_sp.py,A feasible HiGHS incumbent after timeout is not an exact optimum; the current label can overstate the mechanism and impair replay.,
A7-06-SEED,A7,P1,PASS,frozen E2 HGS random streams use explicit seeds,"{""epoch_seed_namespace"": true, ""mother_seed_explicit"": true}",all HGS calls use recorded deterministic seed recipes,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/e2_final_campaign_20260720/mv_hgs_sp_final/run_p3_china81_formal.py,Implicit random state would make arm differences irreproducible.,
A7-07-STOP,A7,P1,FAIL,reproducible convergence and stopping contract,"{""future_budget"": {""PENDING_FORMAL_RELEASE"": 3240}, ""uses_no_improvement"": true, ""uses_wall_clock_max_runtime"": true}",formal E3-E7 primary stop is deterministic/evaluation-count based; wall clock is a safety cap,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/e2_final_campaign_20260720/mv_hgs_sp_final/run_p3_china81_formal.py,"With a wall-clock criterion in the primary stop, the same seed can traverse a different number of iterations across machines.",
A7-08-TRAJECTORY,A7,P1,PASS,trajectory observations remain isolated from sealed table scores,"{""approval_register_id"": ""S3-TRAJ-CURVE-DEF-001"", ""decision"": ""PASS_S3_TRAJ_CURVE_UNDER_REGISTERED_DEFINITION""}",registered curve-only semantics and unchanged sealed scores,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/e2_final_campaign_20260720/p2p3_threeview/representative_gate/s3_traj_v4/decision_v2.json,A trajectory-only historical observation must never replace a formal score.,
A10-03-FAILCLOSE,A10,P0,PASS,current adapter run command fails closed,"{""message"": ""FORMAL_SEARCH_HELD: 当前中国合同 formal_search_allowed=false；本适配器只生成计划、预检、统计和图表接线，不启动正式搜索。"", ""returncode"": 1}",nonzero exit containing FORMAL_SEARCH_HELD,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/adapter.py,The audit itself must not accidentally release formal search.,
A10-03-FORMAL-RUNNER,A10,P0,FAIL,China E3-E7 formal runner exists with resumable atomic unit evidence,"{""adapter_run_is_intentionally_disabled"": true, ""formal_runner_exists"": false}",versioned China formal runner plus per-task atomic witness and resume ledger,baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/adapter.py,"Planning rows cannot be executed, resumed, independently checked or attributed to the frozen MV-HGS-SP implementation.",Implement a versioned China runner with atomic per-task witness publication and a hash-bound resume ledger.
A10-02-CERTIFICATE,A10,P0,FAIL,formal task schema requires an independent recomputation certificate,"{""tasks"": 3240, ""tasks_with_certificate_sha256"": 0}","every completed formal task binds solution, certificate and independent recomputation hashes",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/task_manifest.json,The aggregate-level certificate cannot substitute for per-run witness integrity.,"Require per-run solution, strict certificate and independent recalculation hashes."
A10-05-ENVIRONMENT,A10,P1,FAIL,runtime dependencies and thread settings are bound in formal metadata,"{""environment_probe_file"": ""execution_environment_probe.json"", ""foundation_metadata_keys"": [""algorithm_id"", ""blind_cap_e3_to_e6_task_count"", ""contract_id"", ""contract_sha256"", ""created_at_utc"", ""e7_approved_gate_task_count"", ""e7_blind_cap_projection_task_count"", ""e7_full_projection_task_count"", ""formal_calendar"", ""formal_runs_started"", ""formal_search_allowed"", ""git_head"", ""materialized_task_count"", ""schema"", ""search_evaluations"", ""source_hashes"", ""uk_series""], ""required_environment_keys_present"": false}","Python, PyVRP, SciPy/HiGHS, NumPy and thread controls recorded",baselines/china_e3_e7/pre_e3_full_chain_audit_20260723/interface_reproducibility_audit.csv; baselines/china_e3_e7/foundation_20260723/metadata.json,Unbound solver/library/thread versions can change iteration counts and MIP incumbents.,"Bind interpreter, PyVRP, SciPy/HiGHS, NumPy and thread controls in batch metadata."
A12-06,A12,P0,FAIL,E2 China81 exposure to identified P0 input defects,"{'affected_instances': 81, 'chengdu_carbon_instances': 15, 'outside_city_instances': 5, 'physical_duplicate_instances': 2, 'geography_resampled_instances': 54, 'diesel_price_instances': 81, 'p3_raw_rows': 405, 'p3_algorithm_result_cells': 810, 's2_raw_rows_and_result_cells': 810, 'p3_s2_result_cells_without_full_witness': 1620, 's3_four_arm_rows': 40, 's3_trajectory_observation_rows': 40}",0 E2 rows exposed to a P0 input mapping defect,e2_impact_matrix.csv,"The public benchmark lane is not implicated, but the China81 private results cannot remain unconditional. P3/S2 raw costs cannot be honestly re-scored because full per-run witnesses were not retained.",Preserve old evidence; rerun affected cells only after final input freeze.
A12-06-REP,A12,P0,FAIL,registered E2 simulation-instance exposure,"{'instance_id': 'cn-prd-50c-01-V2-LOCATIONS', 'affected': True, 'defects': ['DIESEL_WRONG_DATE_AND_REGION_GRANULARITY', 'GEOGRAPHY_CORRECTION_DETERMINISTIC_RESAMPLING', 'OUTSIDE_DECLARED_CITY_CUSTOMER'], 'sealed_S3_rows': 40, 'trajectory_observation_rows': 40, 'S4_witness': True}",registered simulation instance has no P0 input defect,customer_geography_exceptions.csv; e2_impact_matrix.csv; baselines/e2_final_campaign_20260720/p2p3_threeview/representative_gate,"Table 4 route details, the ten-seed four-arm comparison, Figure 4 and their manuscript claims depend on this contaminated instance.","Keep the preregistered selection rule, rebuild corrected inputs, then rerun the same registered instance identity under the new version."
A1-03,A1,P1,FAIL,old frozen calendar versus newer semantic overlays,Runtime loader consumes static-input v1 calendar; Shenzhen v3 overlay and reviewed Chengdu mapping are not in the authority chain.,"one explicit, current, immutable runtime input authority",solver/src/setp_solver/china81.py; data/ChinaPrices/china_2025_02_tariff_register_v3.json,Stale semantic source and wrong Chengdu numeric carbon source.,Create a new versioned input authority after all mapping fixes.
